Date,Narration,Chq./Ref.No.,Value Dt,Withdrawal Amt.,Deposit Amt.,Closing Balance
01/05/2026,NEFT CR-PAYROLL-ORBIT DIGITAL MAY2026,NEFTIN260501001,01/05/2026,,92000.00,312000.00
01/05/2026,ACH DR-HOME EMI-SBI ******2341,ACH260501001,01/05/2026,31500.00,,280500.00
02/05/2026,UPI-FRESHMENU-fm@okaxis-UPI/260502001,UPI260502001,02/05/2026,720.00,,279780.00
02/05/2026,UPI-GROFERS-grofers@paytm-UPI/260502002,UPI260502002,02/05/2026,1860.00,,277920.00
03/05/2026,POS-LULU HYPERMARKET BENGALURU,POS260503001,03/05/2026,2745.00,,275175.00
03/05/2026,UPI-PAYTM MALL-paytm@upi-UPI/260503002,UPI260503002,03/05/2026,3680.00,,271495.00
04/05/2026,ATM WDL-HSR LAYOUT ATM-260504001,ATM260504001,04/05/2026,6000.00,,265495.00
05/05/2026,CC-NETFLIX INDIA SUBSCRIPTION,CC260505001,05/05/2026,649.00,,264846.00
05/05/2026,CC-YOUTUBE PREMIUM INDIA,CC260505002,05/05/2026,149.00,,264697.00
06/05/2026,UPI-RAPIDO-rapido@upi-UPI/260506001,UPI260506001,06/05/2026,128.00,,264569.00
06/05/2026,UPI-UBER INDIA-uber@okhdfc-UPI/260506002,UPI260506002,06/05/2026,460.00,,264109.00
07/05/2026,POS-MORE SUPERMARKET BENGALURU,POS260507001,07/05/2026,1988.00,,262121.00
08/05/2026,UPI-INSTAMART-instamart@upi-UPI/260508001,UPI260508001,08/05/2026,540.00,,261581.00
08/05/2026,ACH DR-VEHICLE EMI-KOTAK ******8877,ACH260508002,08/05/2026,14200.00,,247381.00
09/05/2026,BILLPAY-BESCOM ELECTRICITY MAY26,BP260509001,09/05/2026,2950.00,,244431.00
10/05/2026,UPI-AIRTEL MOBILE-recharge@airtel,UPI260510001,10/05/2026,899.00,,243532.00
10/05/2026,UPI-AJIO-ajio@upi-UPI/260510002,UPI260510002,10/05/2026,2799.00,,240733.00
11/05/2026,POS-MEDPLUS PHARMACY BENGALURU,POS260511001,11/05/2026,845.00,,239888.00
12/05/2026,UPI-PVR CINEMAS-pvr@paytm-UPI/260512001,UPI260512001,12/05/2026,1320.00,,238568.00
13/05/2026,UPI-SENT TO FRIEND-KARTHIK R,UPI260513001,13/05/2026,4500.00,,234068.00
14/05/2026,NEFT DR-HOUSE RENT-MR PRAKASH,NEFT260514001,14/05/2026,25000.00,,209068.00
15/05/2026,BILLPAY-ACT FIBERNET MAY26,BP260515001,15/05/2026,1099.00,,207969.00
16/05/2026,UPI-AMAZON INDIA-amz@apl-UPI/260516001,UPI260516001,16/05/2026,2150.00,,205819.00
17/05/2026,UPI-EATCLUB-eatclub@upi-UPI/260517001,UPI260517001,17/05/2026,630.00,,205189.00
18/05/2026,ATM WDL-KORAMANGALA ATM-260518001,ATM260518001,18/05/2026,4000.00,,201189.00
19/05/2026,POS-STAR BAZAAR BENGALURU,POS260519001,19/05/2026,1715.00,,199474.00
20/05/2026,ACH DR-EDUCATION LOAN ******9081,ACH260520001,20/05/2026,22500.00,,176974.00
21/05/2026,IMPS CR-CASHBACK-CREDIT CARD,IMPS260521001,21/05/2026,,350.00,177324.00
22/05/2026,POS-MANIPAL HOSPITAL OUTPATIENT,POS260522001,22/05/2026,2850.00,,174474.00
23/05/2026,UPI-NYKAA-nykaa@upi-UPI/260523001,UPI260523001,23/05/2026,1290.00,,173184.00
24/05/2026,UPI-METRO CARD-metro@upi-UPI/260524001,UPI260524001,24/05/2026,600.00,,172584.00
25/05/2026,CC-SONYLIV PREMIUM INDIA,CC260525001,25/05/2026,399.00,,172185.00
26/05/2026,IMPS DR-SHREYA M-shreya@upi,IMPS260526001,26/05/2026,2500.00,,169685.00
27/05/2026,UPI-REFUND-NYKAA-REFUND,UPI260527001,27/05/2026,,650.00,170335.00
28/05/2026,UPI-BOX8-box8@upi-UPI/260528001,UPI260528001,28/05/2026,420.00,,169915.00
29/05/2026,BILLPAY-WATER BOARD MAY26,BP260529001,29/05/2026,510.00,,169405.00
30/05/2026,ATM WDL-INDIRANAGAR ATM-260530001,ATM260530001,30/05/2026,7000.00,,162405.00
31/05/2026,UPI-DUNZO-dunzo@upi-UPI/260531001,UPI260531001,31/05/2026,940.00,,161465.00
