Date,Narration,Chq./Ref.No.,Value Dt,Withdrawal Amt.,Deposit Amt.,Closing Balance
01/04/2026,NEFT CR-SALARY-ACME TECH PVT LTD APR2026,NEFTIN260401001,01/04/2026,,85000.00,270000.00
01/04/2026,ACH DR-EMI-HDFC HOME LOAN ******4521,ACH260401HL01,01/04/2026,28500.00,,241500.00
02/04/2026,UPI-SWIGGY-orders@swiggy-UPI/260402001,UPI260402001,02/04/2026,450.00,,241050.00
02/04/2026,UPI-ZOMATO-zomato@paytm-UPI/260402002,UPI260402002,02/04/2026,680.00,,240370.00
03/04/2026,UPI-BIGBASKET-bb@hdfcbank-UPI/260403001,UPI260403001,03/04/2026,2340.00,,238030.00
03/04/2026,UPI-AMAZON PAY-amazon@apl-UPI/260403002,UPI260403002,03/04/2026,4599.00,,233431.00
04/04/2026,ATM WDL-ATM SECTOR 18 NOIDA-260404001,ATM260404001,04/04/2026,10000.00,,223431.00
05/04/2026,NETFLIX.COM MUMBAI IN,CC260405001,05/04/2026,649.00,,222782.00
05/04/2026,SPOTIFY AB STOCKHOLM SE INR,CC260405002,05/04/2026,119.00,,222663.00
06/04/2026,UPI-OLA-ola@axisbank-UPI/260406001,UPI260406001,06/04/2026,285.00,,222378.00
06/04/2026,UPI-UBER INDIA-uber@hdfcbank-UPI/260406002,UPI260406002,06/04/2026,412.00,,221966.00
07/04/2026,POS-DMART AVENUE SUPERMARTS NOIDA,POS260407001,07/04/2026,1876.00,,220090.00
08/04/2026,UPI-BLINKIT-blinkit@yesbank-UPI/260408001,UPI260408001,08/04/2026,890.00,,219200.00
08/04/2026,ACH DR-EMI-ICICI PERSONAL LOAN ******8832,ACH260408PL01,08/04/2026,12500.00,,206700.00
09/04/2026,BILLPAY-TATA POWER ELECTRICITY APR26,BP260409001,09/04/2026,3400.00,,203300.00
10/04/2026,UPI-JIO PREPAID-recharge@jio-UPI/260410001,UPI260410001,10/04/2026,719.00,,202581.00
10/04/2026,UPI-FLIPKART-flipkart@axisbank-UPI/260410002,UPI260410002,10/04/2026,3299.00,,199282.00
11/04/2026,POS-MEDPLUS HEALTH SERVICES HYDERABAD,POS260411001,11/04/2026,560.00,,198722.00
12/04/2026,UPI-BOOKMYSHOW-bms@icici-UPI/260412001,UPI260412001,12/04/2026,1100.00,,197622.00
12/04/2026,UPI-RAHUL SHARMA-rahul.sharma@okaxis,UPI260412002,12/04/2026,5000.00,,192622.00
13/04/2026,UPI-SWIGGY-orders@swiggy-UPI/260413001,UPI260413001,13/04/2026,320.00,,192302.00
13/04/2026,POS-HPCL FUEL STATION NOIDA SECTOR 62,POS260413002,13/04/2026,2500.00,,189802.00
14/04/2026,UPI-MYNTRA-myntra@hdfcbank-UPI/260414001,UPI260414001,14/04/2026,2499.00,,187303.00
15/04/2026,BILLPAY-AIRTEL BROADBAND APR26,BP260415001,15/04/2026,999.00,,186304.00
16/04/2026,UPI-AMAZON PAY-amazon@apl-UPI/260416001,UPI260416001,16/04/2026,1299.00,,185005.00
17/04/2026,UPI-ZOMATO-zomato@paytm-UPI/260417001,UPI260417001,17/04/2026,540.00,,184465.00
17/04/2026,ATM WDL-HDFC ATM CONNAUGHT PLACE-260417002,ATM260417002,17/04/2026,5000.00,,179465.00
18/04/2026,UPI-DMRC METRO RECHARGE-dmrc@payu,UPI260418001,18/04/2026,500.00,,178965.00
19/04/2026,POS-RELIANCE FRESH NOIDA SECTOR 50,POS260419001,19/04/2026,1450.00,,177515.00
20/04/2026,ACH DR-EMI-HDFC CAR LOAN ******9912,ACH260420CL01,20/04/2026,18500.00,,159015.00
21/04/2026,IMPS CR-CASHBACK-AMAZON PAY REWARDS,IMPS260421001,21/04/2026,,150.00,159165.00
22/04/2026,POS-APOLLO HOSPITALS OUTPATIENT,POS260422001,22/04/2026,4200.00,,154965.00
23/04/2026,UPI-MEESHO-meesho@yesbank-UPI/260423001,UPI260423001,23/04/2026,799.00,,154166.00
24/04/2026,UPI-RAPIDO-rapido@icici-UPI/260424001,UPI260424001,24/04/2026,95.00,,154071.00
